[Debug] Encriptando bloques (archivo original: 11450 bytes):
[Block 149] IN: V0=0x20697261, V1=0x2C20646F -> C0=0xF339E97A, C1=0xFDA0002E
[Block 150] IN: V0=0x73206F20, V1=0x74726573 -> C0=0xDD9BF053, C1=0xC0E37D8F
[Block 151] IN: V0=0x207075C3, V1=0xB1657461 -> C0=0x562893B3, C1=0x2081BB94
[Block 152] IN: V0=0x7A6F7320, V1=0x636F6E20 -> C0=0x52DF1BA7, C1=0xA9439422
[Block 153] IN: V0=0x756E2067, V1=0x7275706F -> C0=0x129FD435, C1=0xD93BA600
[Block 154] IN: V0=0x20646520, V1=0x636F6D70 -> C0=0x8E7E919A, C1=0xD7E246BB
[Block 155] IN: V0=0x61C3B165, V1=0x726F7320 -> C0=0x52696004, C1=0x18A9D87C
[Block 156] IN: V0=0x71756520, V1=0x71756572 -> C0=0x7D2B2B2A, C1=0xB7718CA7
[Block 157] IN: V0=0xC3AD616E, V1=0x20666F72 -> C0=0xCF823018, C1=0x2F44C3B0
[Block 158] IN: V0=0x7A61726C, V1=0x6F206120 -> C0=0x08057CD8, C1=0x47EE7837
[Block 159] IN: V0=0x70617274, V1=0x69636970 -> C0=0xABC7C075, C1=0x57AF3588
[Block 160] IN: V0=0x61722065, V1=0x6E20756E -> C0=0x770D33DD, C1=0x0CC239DE
[Block 161] IN: V0=0x61206875, V1=0x656C6761 -> C0=0x84A5D22E, C1=0xA33AB1FB
[Block 162] IN: V0=0x20756E69, V1=0x76657273 -> C0=0xF8956727, C1=0x78EE2EA0
[Block 163] IN: V0=0x69746172, V1=0x69612E20 -> C0=0xAF21B093, C1=0xA68E784E
[Block 164] IN: V0=0x4162756E, V1=0x64616261 -> C0=0x3A77B44C, C1=0xBAFFE966
[Block 165] IN: V0=0x2C20706F, V1=0x72206573 -> C0=0x4ABA2D39, C1=0x8EE52AEE
[Block 166] IN: V0=0x70C3AD72, V1=0x69747520 -> C0=0xA596EC0E, C1=0xB8B73BB3
[Block 167] IN: V0=0x64652061, V1=0x71756965 -> C0=0xF5AFF19D, C1=0x2FBE3ECA
[Block 168] IN: V0=0x7363656E, V1=0x6369612C -> C0=0x05D5E634, C1=0xCC5035D1
[Block 169] IN: V0=0x20656E20, V1=0x6F70696E -> C0=0x1ECCA09C, C1=0x34810DE3
[Block 170] IN: V0=0x696F6E65, V1=0x73206F20 -> C0=0xEDEAF0D1, C1=0xE2C46AA3
[Block 171] IN: V0=0x68C3A162, V1=0x69746F73 -> C0=0xEF863D0A, C1=0x750A216A
[Block 172] IN: V0=0x20646973, V1=0x63757469 -> C0=0x6187955B, C1=0xED85C70D
[Block 173] IN: V0=0x626C6573, V1=0x3A20656C -> C0=0x3C271659, C1=0x0B873EDD
[Block 174] IN: V0=0x207061C3, V1=0xAD73206C -> C0=0xFDC27F77, C1=0x74A96F4E
[Block 175] IN: V0=0x6520696D, V1=0x706F7274 -> C0=0x421D2865, C1=0x52A8602B
